codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
4404-680-2020,1306.71,1,Broca perfuradora de solo de aço Ø 200mm,BT120 BT121 BT130 BT131,1,10,5.2,82071910,795711086275
4520-400-6530,519.0,1,AK 10 Bateria,MSA120 FSA56 BGA56 HSA56,1,0,11.25,85076000,886661575527
4520-400-6535,799.0,1,AK 20 Bateria,MSA120 FSA56 BGA56 HSA56,1,0,11.25,85076000,886661575565
4520-400-6545,1189.0,1,AK 30.0 S Bateria,,1,0,11.25,85076000,886661575640
4520-602-0900,30.44,1,Tampa do compartimento da bateria AK,Todas as máquinas da linha C,1,0,5.0,39235000,886661552771
4601-710-1504,1279.0,1,BF Implemento Cultivador do solo,KA85,1,10,5.2,82079000,795711288372
4601-740-5000,1719.0,1,BF-KM Cultivador do solo,KM55 KM85,1,10,5.2,82079000,795711319076
4606-740-5000,739.0,1,BG-KM Soprador axial,KM55R KM85R,1,10,5.2,82079000,795711349851
4811-700-2201,573.31,1,Disp. de sucção,BGE71,1,10,3.25,84149020,886661435401
4850-400-6568,2419.0,1,AP 200.0 S Bateria,,1,0,11.25,85076000,886661561254
4850-400-6578,2729.0,1,AP 300.0 S Bateria,,1,0,11.25,85076000,886661025794
4850-430-2528,279.0,1,"AL 101, 220 V Carregador",AK 10 20 Bateria - MSA120 FSA56 BGA56 BGAHS,1,10,5.0,85044010,886661257782
4850-430-2529,279.0,1,"AL 101, 127 V Carregador",127VAK 10 20 Bateria - MSA120 FSA56 BGA56 HSA56,1,10,5.0,85044010,886661257805
4850-430-5709,1249.0,1,"AL 500, 127 V Carregador rápido de",Baterias sistemas AK e AP,1,10,5.0,85044010,886661478200
4850-440-0505,417.21,1,Adaptador AP ADA 100,,1,0,9.75,85366990,886661570508
4850-440-5101,1159.19,1,Bolsa de cintura AP com cabo elétrico,,1,10,5.0,85444200,886661512232
4850-490-0400,654.36,1,Sistema de suporte,,1,0,0.0,63079090,886661405282
4850-490-0500,367.4,1,Cinto para baterias com cinto de suporte,,1,0,0.0,63079090,886661635689
4850-491-0101,198.9,1,Bolsa,FW20,1,0,6.5,42029200,795711854119
4850-602-0900,26.2,1,Tampa do compartimento da bateria AP,Todas as máquinas da linha P,1,0,5.0,39235000,795711843373
4852-713-3401,84.69,1,Grampo,FSA65 FSA85,1,10,6.5,73182400,795711696580
4857-007-1001,183.33,1,Jogo pé de suporte,HTA86,1,10,5.2,84679100,886661138999
4864-690-0801,674.69,1,Batente de profundidade com tubo de asp.,TSA230,1,10,5.2,84679100,886661161720
4866-701-8301,69.92,1,Bico chato reto,BGA 86,1,10,3.25,84149020,886661754571
4900-500-1627,413.1,1,Bico turbo,RE920KM,5,10,3.25,84249090,795711621506
4900-500-1630,161.1,1,Bico turbo verde,RE88 RE98 RE109-127V RE220V,1,10,3.25,84249090,795711398415
4900-500-1641,413.1,1,Bico turbo W12 040,RE230 RE232 - 220V,1,10,3.25,84249090,795711353483
4900-500-1671,530.1,1,Bico turbo,RE142,1,10,3.25,84249090,795711189402
4900-500-1698,86.9,1,Bico turbo turquesa,RE98-127V,1,10,3.25,84249090,795711924812
4900-500-3011,1000.96,1,Escova de limpeza,RE232,1,0,0.0,96035000,795711058203
4900-500-3903,164.89,1,Dispositivo de limpeza p/superf. RA82,RE98,0,0,0.0,96035000,886661367016
4900-500-6320,71.76,1,Bico leque amarelo,RE88-220V - RE98-127V RE220V,1,10,3.25,84249090,795711924799
4900-500-6321,224.1,1,Bico leque verde,RE108-127V,1,10,3.25,84249090,795711398422
4900-500-6322,71.76,1,Bico leque turquesa,RE88-127V - RE109-127V RE220V,1,10,3.25,84249090,795711398439
4900-500-6325,152.9,1,Bico leque rosa,RE108-220V,1,10,3.25,84249090,795711619770
4900-500-6700,36.09,1,Conexão,RE107 RE108 RE142,1,10,0.0,39174090,795711353575
4900-500-6702,33.5,1,Conexão,RE142,1,10,0.0,39174090,795711212827
4900-500-6705,56.6,1,Conexão,RE108 RE143,1,10,0.0,39174090,886661152544
4900-502-0900,4.03,1,Capa de proteção,RE107 RE108 RE142,1,10,9.75,39269090,795711058371
4900-502-0903,59.97,1,Capa de proteção,RE230 RE232,1,10,9.75,39269090,795711863494
4900-502-1021,74.09,1,Bico 25035,RE232,1,10,3.25,84249090,886661355143
4900-502-1033,74.09,1,Bico 2506,RE107 RE108 RE142,1,10,3.25,84249090,795711058548
4901-500-2610,46.53,1,Bico de limpeza do radiador,SE33,1,0,6.5,85087000,795711059101
4901-502-2200,17.02,5,Bico para cantos 300 mm,se50 se90 SE33,1,0,6.5,85087000,795711059484
