codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0463-902-0500,191.1,1,Camisa listrada manga curta M (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328307
0463-902-0501,191.1,1,Camisa listrada manga curta G (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328314
0463-902-0502,191.1,1,Camisa listrada manga curta GG (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328321
0463-902-0503,191.1,1,Camisa listrada manga curta XG (Slim),Modelo Slim Fit é aprox. 1 tamanho menor do que o tradicional.,0,0,0.0,62059090,886661328338
0463-902-0523,35.96,1,Camiseta menina Stihl tam. 06,,0,0,0.0,61091000,886661360192
0463-902-0532,166.26,1,Jardineira jeans infantil tam. 10,,0,0,0.0,62034200,886661881185
0463-902-0533,241.5,1,Calça cargo bege masc. 38,,0,0,0.0,62034200,886661881192
0463-902-0534,241.5,1,Calça cargo bege masc.40,,0,0,0.0,62034200,886661881208
0463-902-0535,241.5,1,Calça cargo bege masc.42,,0,0,0.0,62034200,886661881222
0463-902-0536,241.5,1,Calça cargo bege masc.Gr.44,,0,0,0.0,62034200,886661881239
0463-902-0537,241.5,1,Calça cargo bege masc.46,,0,0,0.0,62034200,886661881246
0463-902-0538,50.4,1,Copo de café - fibra de bambu,,0,10,0.0,48236100,886661495238
0463-902-0539,57.75,1,Squeeze transparente,,0,0,0.0,39249000,886661495245
0463-902-0540,68.25,1,Squeeze em aço inox preto,,0,0,0.0,73239300,886661495252
0463-902-0541,57.75,1,Necessaire preta 2 divisórias,,0,10,0.0,42021220,886661495276
0463-902-0542,276.15,1,Jaqueta Sport - Masc. P,,0,0,0.0,62014000,886661495283
0463-902-0543,276.15,1,Jaqueta Sport - Masc. M,,0,0,0.0,62014000,886661495290
0463-902-0544,276.15,1,Jaqueta Sport - Masc. G,,0,0,0.0,62014000,886661495320
0463-902-0545,276.15,1,Jaqueta Sport - Masc. GG,,0,0,0.0,62014000,886661495337
0463-902-0546,276.15,1,Jaqueta Sport - Masc. XXG,,0,0,0.0,62014000,886661495351
0463-902-0547,199.5,1,Guarda-sol estampado,,0,0,0.0,66011000,886661495375
0463-902-0548,16.02,1,Meia bebê listrada nº 14 ao 17,,0,0,0.0,61159500,886661495382
