unnamed_2,codigo_material,preco_real,qtde_min,item,descricao,s,t,ipi,classif_fiscal,codigo_barras
,0463-902-5100,7.09,1,Precificador de produto SPA 65,,0,0,0,49119900,886661681822
,0463-902-5101,7.09,1,Precificador de produto PC 70,,0,0,0,49119900,886661681839
,0463-902-5102,7.09,1,Precificador de produto PC 75,,0,0,0,49119900,886661681846
,0463-902-5103,7.09,1,Precificador de Misturador de Combustíve,,0,0,0,49119900,886661681853
,0463-902-5104,7.09,1,Precificador de BATERIA AP200,,0,0,0,49119900,886661681860
,0463-902-5105,7.09,1,Precificador de BATERIA AP300,,0,0,0,49119900,886661681877
,0463-902-5106,7.09,1,Precificador de BATERIA AP300S,,0,0,0,49119900,886661681884
,0463-902-5107,7.09,1,Precificador de BATERIA AK10,,0,0,0,49119900,886661681907
,0463-902-5108,7.09,1,Precificador de BATERIA AK20,,0,0,0,49119900,886661681914
,0463-902-5109,7.09,1,Precificador Bateria AK 30 S,,0,0,0,49119900,886661681921
,0463-902-5110,7.09,1,Precificador de CARREGADOR AL300,,0,0,0,49119900,886661681938
,0463-902-5111,7.09,1,Precificador de CARREGADOR AL101,,0,0,0,49119900,886661681945
,0463-902-5112,7.09,1,Precificador de produto MSE 170,MSE 170,0,0,0,49119900,886661732852
,0463-902-5113,7.09,1,Precificador de carregador AL 500,,0,0,0,49119900,886661732869
,0463-902-5114,7.09,1,Precificador de produto HTA 86,HTA 86,0,0,0,49119900,886661732876
,0463-902-5115,7.09,1,Precificador de produto RE 90 Plus,RE90 PLUS,0,0,0,49119900,795711705756
,0463-902-5116,7.09,1,Precificador de produto RE 90.0,RE90.0,0,0,0,49119900,795711705763
,0463-902-5117,7.09,1,Precificador de produto RE 80,RE80,0,0,0,49119900,795711705787
,0463-902-5118,7.09,1,Precificador de produto RE 80 X,RE80X,0,0,0,49119900,795711705794
,0463-902-5119,7.09,1,Precificador de produto HT 135,,0,0,0,49119900,795711895471
,0463-902-5120,7.09,1,Precificador de produto FSA 57,,0,0,0,49119900,795711895488
,0463-902-5121,7.09,1,Precificador de produto WP 300,WP 300,0,0,0,49119900,795711982478
,0463-902-5122,7.09,1,Precificador de produto WP 600,WP 600,0,0,0,49119900,795711982645
,0463-902-5123,7.09,1,Precificador de produto WP 900,WP 900,0,0,0,49119900,795711983147
,0463-902-5124,7.09,1,Precificador de produto RMA 235,RMA235,0,0,0,49119900,886661027248
,0463-902-5125,7.09,1,Precificador de produto RE 145,RE145,0,0,0,49119900,886661027255
,0463-902-5126,7.09,1,Precificador de produto HSA 50,HSA50,0,0,0,49119900,886661109081
,0463-902-5127,7.09,1,Precificador de produto FSA 86,FSA86,0,0,0,49119900,886661109098
,7030-871-0036,7.09,1,Precificador de produto MH 610,MH610,0,0,0,49119900,886661296842
,7030-871-0037,7.09,1,Precificador de produto MH 710,MH710,0,0,0,49119900,886661296859
,7030-871-0038,7.09,1,Precificador de produto MSA 60,MSA60,0,0,0,49119900,886661296866
,7030-871-0039,7.09,1,Precificador de produto MSA 70 C-B,MSA70 C-B,0,0,0,49119900,886661296873
,7030-871-0040,7.09,1,Precificador de produto HTA 50,HTA50,0,0,0,49119900,886661296880
,7030-871-0137,7.09,1,Precificador de produto ADA 1000,ADA 1000,0,0,0,49119900,886661603800
,7030-871-0138,7.09,1,Precificador de produto AL 301,AL301,0,0,0,49119900,886661603992
,7030-871-0139,7.09,1,Precificador de produto AP 500 S,AP 500 S,0,0,0,49119900,886661605606
,7030-871-0140,7.09,1,Precificador de produto BGA 300.1,BGA 300.1,0,0,0,49119900,886661605613
,7030-871-0141,7.09,1,Precificador de produto EHC 605 S,EHC 605 S,0,0,0,49119900,886661605620
,7030-871-0142,7.09,1,Precificador de produto EHC 705 S,EHC 705 S,0,0,0,49119900,886661605965
,7030-871-0143,7.09,1,Precificador de produto FR 410,FR 410,0,0,0,49119900,886661605972
,7030-871-0144,7.09,1,Precificador de produto FS 161,FS 161,0,0,0,49119900,886661605989
,7030-871-0145,7.09,1,Precificador de produto FS 221,FS 221,0,0,0,49119900,886661605996
,7030-871-0146,7.09,1,Precificador de produto FS 291,FS 291,0,0,0,49119900,886661606009
