codigo_antigo,codigo_novo,descricao,data_alteracao,unnamed_7
4238-190-0301,4238-190-0302,Tampa do arranque c/disp/ de arranque,2009-11-24,
4241-007-1001,4144-007-1012,Jogo de juntas de vedação,2007-05-14,
4241-704-3400,4241-704-3405,Roda do ventilador,2009-10-14,
4244-719-0201,4244-719-0250,Junta de vedação,2010-12-02,
4311-160-4705,4311-160-4800,Alavanca de desengate,1994-03-08,
4313-711-8700,0000-711-8700,Parafuso com colar,2003-05-14,
4313-160-0600,4313-160-0650,Carcaça da embreagem,2016-09-08,
4314-007-1051,4314-007-1052,Jogo peças do carburador,2007-12-14,
4314-120-0600,4314-120-0601,Carburador C1Q-S74G,2008-11-05,
4702-120-0603,4702-120-0604,Carburador WJ-113,2006-09-08,
4702-021-0200,4702-080-0200,Evolvente do ventilador,1996-11-25,
4702-080-2100,1108-080-2111,Carcaça do ventilador c/disp/ arranque,1997-03-12,
4702-084-0900,4702-080-1605,Cobertura,1996-11-25,
4702-084-8300,,,NaT,
4702-120-0602,4702-120-0603,Carburador HS-271D,2010-01-02,
4702-120-0603,4702-120-0604,Carburador WJ-113,2006-09-08,
4702-120-0605,4702-120-0606,Carburador HS-268A,2010-07-21,
4702-141-8600,1110-141-8601,Mangueira 120 mm,1997-02-20,
4702-350-0400,4702-350-0405,Tanque de combustível,1996-11-27,
4702-350-3500,0000-350-3500,Cabeçote de aspiração,1998-12-18,
4702-700-4000,4702-700-4001,Cj/ carcaça da bomba,2009-09-12,
4702-700-4800,4702-700-4850,"Flange 2""",1996-11-27,
4702-700-4852,4702-700-4850,"Flange 2""",1996-11-27,
4702-704-3400,4702-007-1006,Jogo rotor/porca cega,1996-11-25,
,4702-704-1200,Arrastador,1996-11-27,
4702-708-3100,4702-708-3101,Porca de engate,1996-11-27,
4702-708-8607,4702-708-8608,"Porca engate rápido 2""",2003-10-10,
4702-709-0402,4702-709-0404,Junta de vedação,2010-07-30,
4702-709-0404,4702-007-1005,Jogo de juntas de vedação,1997-06-23,
4702-791-1701,4702-791-1702,Cabo do punho,1996-11-27,
4702-890-1400,4702-890-1405,Jogo de ferramentas,1996-11-27,
4717-435-0305,4717-435-0300,Interruptor,2011-11-29,
4717-700-6205,4717-700-6201,Válvula,1991-08-13,
4719-502-2100,4719-502-2102,Filtro,2004-12-03,
4719-512-0700,4719-510-1500,Corpo da válvula,2012-02-15,
4719-518-0200,4719-510-0200,Válvula de retenção completa,2008-03-03,
4743-510-0200,4768-510-0200,Válvula de retenção,2010-11-12,
4754-701-8800,4743-502-2100,Tela,2015-05-06,
4755-605-1001,4755-605-1006,Capacitor 30 µF,2008-06-17,
4760-007-0400,4760-007-1001,Kit auto-stop completo,NaT,
4760-007-5600,4760-007-1002,Kit da bomba,NaT,
4760-430-1000,4760-432-1000,Carcaça do interruptor,2009-07-01,
4760-430-1050,4760-432-1001,Carcaça da caixa elétrica,NaT,
4760-435-0410,4760-435-0430,Cj/ auto-stop 110/220V,1999-06-09,
4760-435-0420,,,NaT,
4760-435-0330,4760-435-0332,Chave pulsante 16A compl/,2003-10-22,
4760-435-0332,4760-430-0500,Conjunto interruptor,NaT,
4760-435-0430,4760-435-0431,Cj/ auto-stop 110/220V,1999-12-23,
4760-435-0431,4760-435-0432,Cj/ auto-stop 110/220V,2003-10-22,
4760-435-0432,4760-430-0501,Interruptor,NaT,
4760-439-0600,4764-439-0600,Capa de vedação,NaT,
4760-439-0601,4760-432-1100,Fixação do interruptor,NaT,
4760-439-0610,4760-432-1101,Suporte de fixação,NaT,
4760-500-1305,4760-502-5500,Capa da pistola,2004-04-21,
4760-502-0400,4760-432-9300,Luva,NaT,
4760-502-1520,4760-503-1100,Suporte,2010-10-13,
4760-502-2101,4762-502-2104,Filtro de entrada,NaT,
4760-502-5500,4719-502-5602,Capa da pistola,2004-04-21,
4760-505-0500,4760-505-2200,Anel de encosto,2011-06-16,
4760-518-0200,4760-518-0201,Mola,NaT,
4760-600-0200,4760-600-0203,Motor elétrico 127 V/ 60 Hz,NaT,
4760-600-0500,4760-600-0505,Motor 110 V - 127 V,2003-10-22,
4760-600-0505,4760-600-0200,Motor elétrico 110V/60 Hz,2012-08-14,
4760-600-0510,4760-600-0520,Motor 220 V,2003-10-22,
4760-600-0520,4760-600-0201,Motor elétrico 220 V/ 60 Hz,NaT,
4760-600-0525,4760-600-0202,Motor elétrico 220 V/ 60 Hz,NaT,
4760-602-1220,4760-701-1100,Carcaça de acionamento,NaT,
4760-602-1230,4760-701-1101,Carcaça do motor,NaT,
4760-602-1240,4760-701-2000,Flange,NaT,
4760-602-1280,4760-701-3800,Bucha de isolamento,NaT,
4760-606-0200,4760-602-4100,Bucha,NaT,
4760-606-0250,4760-602-4101,Bucha isolam-eixo 110/127V,NaT,
4760-607-3050,4760-608-1800,Pino trava,NaT,
4760-607-3100,4760-607-3000,Roda do ventilador,NaT,
4760-608-1020,4760-701-3000,Disco oscilante 230V/50 Hz,2013-08-03,
4760-608-1040,4760-701-3001,Disco oscilante,NaT,
4760-608-1050,4760-701-3002,Disco oscilante 220V/60 Hz,2005-12-05,
4760-608-1060,4760-701-5000,Parafuso do disco oscilante,NaT,
4760-608-1070,9104-003-9800,Parafuso 6/304-048-0,NaT,
4760-700-1400,4760-700-4600,Bloco da válvula,NaT,
4760-700-2200,4760-510-0200,Válvula de retenção,2012-12-01,
4760-700-2210,4760-700-7300,Conexão da mangueira,2015-04-18,
4760-700-2220,4760-700-2250,"Cj/ engate rápido 3/4""",2015-04-18,
4760-700-2250,4760-700-7303,Conexão da mangueira,2015-04-18,
4760-700-3100,4760-760-7000,Jogo pistões cerâmica,NaT,
4760-701-0500,4760-700-4000,Carcaça da bomba,NaT,
4760-701-0600,4760-700-4001,Carcaça da bomba,NaT,
4760-701-3000,4762-701-3001,Disco oscilante,2013-08-03,
4760-701-3002,4762-701-3000,Disco oscilante,NaT,
4762-705-0600,4762-708-5800,Parafuso de fechamento,NaT,
4760-705-2210,4760-705-2300,Válvula de sucção,NaT,
4760-705-2215,4760-705-2216,Jogo válvula de retenção,2003-10-21,
4760-705-2216,4760-510-0201,Jogo válvula de retenção,NaT,
4760-705-2230,4760-705-2241,Válvula by-pass,1999-01-12,
4760-705-2240,,,NaT,
4760-705-2241,4760-705-2242,Válvula by-pass,2003-10-21,
4760-705-2242,4760-510-0300,Pistão de comando,NaT,
4760-706-2900,4760-701-1600,Elemento de sucção,NaT,
4760-706-2901,4760-701-1601,Elemento HD,NaT,
4760-706-3300,4760-790-3000,Haste,NaT,
4761-007-2300,4761-007-1001,Kit nipel,2011-11-29,
4761-430-0300,4761-430-3600,Tampa 220 V,2012-04-21,
4761-430-0301,4761-430-3601,Tampa 110 V,2011-11-29,
4761-430-1000,4761-430-1100,Carcaça do interruptor,2011-11-29,
4761-430-1010,4761-430-1101,Carcaça do interruptor,2014-05-01,
4761-501-0800,4761-701-6000,Mangueira,2004-07-22,
4761-600-0505,4761-600-0200,Motor elétrico,2011-01-14,
4761-600-0506,4761-600-0201,Motor elétrico,2011-01-14,
4761-602-0400,4761-602-1900,Peça isolante,2013-08-03,
4761-605-1010,4760-605-1010,Capacitor 220V/230V,NaT,
4761-608-1000,4761-701-3000,Disco oscilante,2010-01-25,
4761-608-1010,4761-701-2000,Flange,2014-05-01,
4761-608-3810,4761-602-4100,Bucha,2010-10-13,
4761-700-2220,4760-700-2250,"Cj/ engate rápido 3/4""",2015-04-18,
4761-700-2303,4761-760-8800,Injetor,2011-06-16,
4761-700-2304,4761-510-0200,Válvula de retenção,2007-07-13,
4761-700-2305,4761-510-2200,Estrangulador,2011-06-17,
4761-700-2306,4761-510-1600,Elemento de fixação,2009-02-19,
4761-700-6310,4761-510-0300,Êmbolo de distribuição,2011-11-29,
4761-700-6400,4761-007-1000,Jogo,2013-04-15,
4761-701-0505,4761-510-2300,Guia do êmbolo,2011-11-29,
4761-701-0570,4761-510-2301,Guia do êmbolo,2010-07-09,
4761-701-3100,4761-701-3150,Pistão,2010-01-18,
4761-701-6000,4761-701-6001,Mangueira,2011-11-29,
4761-706-2111,4761-790-2100,Quadro,2011-11-29,
4761-706-3410,4761-701-2001,Flange,2013-08-03,
4761-708-5700,4761-518-1300,Anel de encosto,2009-02-19,
4761-709-2500,4760-709-2005,Anel de vedação,NaT,
4761-709-2501,4761-709-2100,Retentor,NaT,
4761-791-5701,4761-791-7500,Cobertura,2016-01-12,
4762-012-4502,4762-012-4504,Lavadora Stihl RE 900KM 220V 60Hz,2012-09-01,
4762-435-0321,4760-435-0320,Interruptor,NaT,
4762-435-0400,4762-701-1000,Carcaça,NaT,
4762-435-0410,4762-511-0601,Luva,NaT,
4762-435-0420,4762-432-1000,Carcaça do interruptor,NaT,
4762-435-0430,4762-440-0800,Cabo de ligação,NaT,
4762-435-0440,4762-432-9000,Capa de proteção,NaT,
4762-435-0450,4762-442-0400,Mangueira de isolamento,NaT,
4762-439-0600,4762-435-2300,Pedal,NaT,
4762-439-0610,4762-435-6000,Suporte,NaT,
4762-440-1200,4762-440-1201,Cabo com plug,2004-12-03,
4762-440-1201,4762-440-2000,Cabo de conexão,2004-12-03,
4762-448-1200,4762-432-3600,Anel trava,NaT,
4762-500-1030,4762-500-2800,Carcaça do bico,NaT,
4762-500-1050,4762-500-6200,Recipiente,2003-10-23,
4762-500-6200,4762-500-6300,Bico,2011-01-06,
4762-500-6900,4915-502-3800,Tubo,NaT,
4762-501-0800,4762-501-0500,Mangueira,NaT,
4762-502-0900,4762-502-3900,Anel de regulagem,NaT,
4762-502-0910,4762-502-1200,Suporte,NaT,
4762-502-1310,4762-505-2300,Grampo,NaT,
4762-502-2101,4762-502-2104,Filtro de entrada,NaT,
4762-502-2102,4762-500-5400,Filtro,NaT,
4762-502-2103,4762-502-0700,Filtro,NaT,
4762-502-4310,4762-701-6600,Cabeçote de aspiração,NaT,
4762-510-0300,4762-708-9600,Nípel,NaT,
4762-512-0700,4762-511-0600,Luva,NaT,
4762-600-0501,4762-600-0200,Motor elétrico 50Hz,2003-11-18,
4762-600-0505,0476-260-0021,Motor completo 60 Hz,2003-10-23,
4762-600-0800,4762-600-3300,Bloco do motor,NaT,
4762-606-0100,4762-602-1100,Tampa do mancal,NaT,
4762-606-0200,4762-706-0500,Folha adesiva,NaT,
4762-607-3050,4762-708-1600,Pino,NaT,
4762-608-1000,4762-701-3000,Disco oscilante,NaT,
4762-608-1001,4762-701-3001,Disco oscilante,NaT,
4762-700-2200,4762-510-0301,Pistão de comando,2015-04-18,
4762-700-2201,4762-510-0301,Pistão de comando,2015-04-18,
4762-700-2231,4762-510-3100,Válvula bypass,2015-04-18,
4762-700-3100,4763-760-7050,Jogo pistões,2002-11-06,
4762-700-6202 ,4762-700-6200,Válvula,NaT,
4762-700-6201,4762-701-9600,Válvula de retenção,NaT,
4762-700-6300,4762-510-1900,Parafuso de regulagem,NaT,
4762-700-7300,4760-700-2250,"Cj/ engate rápido 3/4""",2015-04-18,
4762-700-7301,4762-512-0400,Botão de regulagem,NaT,
4762-700-7310,4762-502-1400,Capa de proteção,NaT,
4762-701-0510,4762-701-8500,Guia do êmbolo,NaT,
4762-701-1211,4762-700-4600,Bloco da válvula,NaT,
4762-701-1220,4761-701-0900,Tampa de sucção,2003-10-23,
4762-701-1221,4762-701-0901,Tampa,NaT,
4762-701-3100,4762-708-3600,Arruela de aperto,NaT,
4762-701-3110,4763-760-7050,Jogo pistões,NaT,
4762-701-3120,4762-700-2231,Válvula By-pass completa,2015-04-18,
4762-701-3125,4762-511-0500,Pistão de comando,NaT,
4762-701-3800,4762-512-1200,Carcaça da válvula,NaT,
4762-705-2210,4762-500-1400,Injetor,NaT,
4762-705-2211,4762-500-1401,Injetor,NaT,
4762-708-3400,4762-708-3301,Mola,2006-02-18,
4762-709-2103 ,4762-709-2100,Anel com ranhura 14x22x7,NaT,
4762-709-2500,4762-709-2100,Anel com ranhura 14x22x7,NaT,
4762-709-2501,4762-709-2101,Anel com ranhura,NaT,
4762-706-2110,4762-007-1001,Kit cobertura superior,2004-12-03,
4762-708-5700,4762-708-5720,Bucha,1999-12-01,
,4762-708-5730,Bucha,2002-08-26,
4762-708-5702 ,4762-708-5701,Bucha,2002-11-06,
4762-708-5710,4762-708-5720,Bucha,1999-12-01,
,4762-708-5730,Bucha,2002-08-26,
4762-708-5720,4762-708-5721,Bucha,2006-09-18,
4762-708-5721,4762-708-5701,Bucha,2002-11-06,
4762-708-5730,4762-708-5701,Bucha,2002-11-06,
4762-791-0310,4762-791-0311,Cabo da mão,NaT,
4762-791-0350,4762-791-5400,Suporte,NaT,
4762-791-0360,4762-792-5200,Base de transição,2003-01-27,
4762-791-0400,4762-007-1004,Jogo,2005-12-19,
4762-791-0401,4762-791-3500,Quadro,NaT,
4763-791-8300,4762-791-8300,Porca,NaT,
4762-791-9210,4762-791-7300,Bujão,2011-07-25,
4762-791-9250,4762-791-9252,Botão com parafuso,2003-10-23,
4762-791-9251,4762-791-8300,Porca,NaT,
4762-791-9252,4762-791-8302,Porca,2007-09-05,
4762-791-9260,4762-792-3301,Parafuso,NaT,
4762-791-9300,4762-791-7001,Eixo,NaT,
4763-435-1000,4763-430-0500,Interruptor,NaT,
4763-435-2600,4762-706-0500,Folha adesiva,NaT,
4763-701-3000,4763-701-3001,Disco oscilante 60Hz,2006-01-26,
4763-760-7051 ,4763-760-7050,Jogo pistões,NaT,
4764-510-3100,4764-510-0301,Pistão de comando,2008-06-10,
4765-510-0200,4765-510-0201,Válvula de retenção,2008-09-01,
4764-518-0200,4760-518-0201,Mola,NaT,
4765-440-2009,4765-440-2007,Cabo de conexão BR 220 V,2010-12-10,
4765-760-8800,4765-760-8801,Injetor 120 V / 60 Hz,2008-09-01,
,4765-760-8802,Injetor 220 V / 60 Hz,2008-09-01,
4765-510-0300,4765-510-0303,Pistão de comando,2013-07-05,
4765-700-4000,4765-700-4001,Carcaça da bomba,2009-03-16,
4803-011-4104,4803-011-4106,FE 55 230V 50Hz BR STIHL Roçadeira,2005-08-01,
4803-710-7101,4803-710-7131,"Tubo do eixo Ø 25,4 mm",1997-09-03,
4803-711-2900,4808-710-7600,Adaptador,1998-03-03,
4803-713-4100,4130-713-4100,Faca limitadora,2009-02-24,
4809-011-4121,4809-011-4101,"FSE 60 Roçadeira eléctrica,AutoCut C5-2",2008-01-23,
4809-710-1703,4809-710-1704,"Haste Ø 25,4 mm",2013-03-15,
4809-710-8101,4140-710-8101,Proteção,2005-05-17,
4809-791-0800, 4809-790-0300,Parte do punho,2010-03-05,
4812-790-9100,4812-790-9107,Proteção da mão 120 V,2010-12-17,
,4812-790-9108,Proteção da mão 220 V,2010-12-17,
4900-505-1300,4900-505-1201,Arruela de aperto,2017-03-07,
4900-500-3901,4900-500-3902,Dispositivo de limpeza p/superf/ RA101,2011-01-06,
4900-500-6309,4900-500-6322,Bico turqueza,2015-05-06,
4900-500-6348,4915-500-6347,Bico,2011-01-06,
4901-500-9025,4901-500-9005,"Saco do filtro SE 50, 90",2009-07-22,
4915-500-0650,4900-500-1623,Bico do rotor,2011-01-06,
4915-500-0700,4900-007-1015,Jogo,2004-12-03,
4915-500-0801,4900-500-1700,Jogo de limpeza de tubos,2014-06-16,
4915-500-0835,4915-500-0850,Mangueira de alta pressão,2008-11-11,
4915-500-0841,4915-500-0840,"Mangueira de alta pressão 7,5 m",2011-01-06,
4915-500-0931,4900-500-0303,Extensão da lança,2006-08-17,
4915-500-0850,4915-500-0840,"Mangueira de alta pressão 7,5 m",2011-01-06,
4915-500-0924,4900-500-0302,Extensão da lança,2011-01-06,
4915-500-1302,4915-500-1306,Pistola,2004-12-03,
4915-500-1330,4915-500-1331,Pistola,2004-12-03,
4915-500-3100,4915-505-2100,Pino,2004-12-03,
4915-500-3820,4915-503-1200,Elemento de fixação,2009-03-10,
4915-500-5610,4915-500-1401,Injetor,2004-12-03,
4915-500-5700,4915-500-0918,Lança de jatear Kärcher 110 V,2011-01-06,
4915-500-5750,4915-500-0919,Lança de jatear Kärcher 220 V,2011-01-06,
4915-500-5800,4915-500-1600,Bico do rotor,2011-01-06,
4900-500-6309,4900-500-6322,Bico turqueza,2015-05-06,
4915-500-6317,4915-500-6310,Bico 0405,2011-01-06,
4915-500-6348,4915-500-6347,Bico,2011-01-06,
4915-500-6380,4915-500-0200,Elemento de fixação,2004-12-03,
4915-500-6390,4915-500-0201,Elemento de fixação,2004-12-03,
4915-500-6601,4915-502-5500,Capa da pistola,2004-12-03,
4915-500-6620,4915-502-5502,Capa da pistola,2006-05-05,
4915-500-6625,4915-500-6625,Capa do tubo Spray,2003-10-23,
4915-500-6300,4915-505-5202,Bico,2010-07-14,
4915-501-0115,4915-500-0918,Lança de jatear Kärcher 110 V,2011-01-06,
4915-501-0120,4762-500-6900,Tubo,2005-03-14,
4915-501-0125,4762-500-6901,Tubo,2009-11-23,
4915-501-0130,4900-500-1624,Bico do rotor,2011-10-27,
4915-501-0135,4915-500-0919,Lança de jatear Kärcher 220 V,2011-01-06,
4915-501-0300,4900-502-1100,Carcaça do bico,2011-01-06,
4915-502-0405,4915-503-2300,Bucha elástica,2004-12-03,
4915-502-0410,4915-503-2301,Bucha,2004-12-03,
4915-502-0420,4915-503-2302,Bucha,2004-12-03,
4915-502-0430,4915-503-2303,Bucha de entrada preta,2004-12-03,
4915-502-1201,4915-505-0501,Arruela,2004-12-03,
4915-502-1510,4915-502-5700,Botão de bloqueio,2009-09-01,
4915-502-1511,4915-502-5701,Trava do gatilho,2004-12-03,
4915-502-1512,4915-502-1601,Alavanca de segurança,2004-12-03,
4915-502-1520,4915-502-1521,Alavanca,2004-12-03,
5202-750-7012,5203-750-7013,Rebolo perfilado,1998-02-20,
5203-201-0303,5203-200-0006,USG Afiador,2011-01-06,
5203-201-0403,5203-200-0002,USG Afiador completo,2011-01-06,
5603-000-7500,5610-000-7500,Afiador de Aço para corrente STIHL FG 3,2014-03-21,
5203-600-0204,5203-600-0207,Motor elétrico 230 V/50 Hz,2016-09-01,
5203-600-0213, 5203-600-0214,Motor elétrico 110 V 60 Hz,2010-07-12,
5203-600-0214,5203-600-0208,Motor elétrico 120 V/60 Hz,2016-09-01,
5605-772-4006,5605-771-4006,Lima redonda 4x200,1996-11-26,
5605-772-5506,5605-771-5506,"Lima redonda 5,5x200",1996-11-26,
5805-000-7700,5805-012-7500,Desrebitador NG 4,1999-10-28,
5805-000-7710,5805-012-7510,Rebitador NG 5,1999-10-28,
5805-750-7400,5805-751-7400,Manivela,2016-12-06,
5805-754-3700,5805-750-3400,"Elemento de rolos 1/4"", 0/325"", Picco",2010-07-30,
5805-754-3702,5805-750-3402,"Elemento de rolos 3/8"", 0/404""",2016-04-16,
5805-757-7102,5805-757-7105,"Matriz 1/4"" Picco - 404""",2010-12-20,
5910-007-2200,5910-007-2201,Jogo ferramentas de montagem,2013-05-14,
5910-850-1006,5910-850-1008,Medidor de rotações EDT 7,2016-10-17,
5910-850-1007,5910-850-1006,Tacometro,2006-06-23,
5910-890-2000,5910-890-3101,Cavalete de montagem,2012-03-16,
5910-890-3100,5910-890-3101,Cavalete de montagem,2012-03-16,
5910-890-4600,5910-890-4601,Ferramenta de extração,2010-07-30,
6440-711-2905,6440-710-7600,Adaptador,2014-05-08,
6440-790-1400,4809-790-1407,Carcaça de plástico externa,2017-05-15,
6440-440-1900,6440-440-1901,Cabo de ligação,2011-06-15,
6503-121-3300,1115-121-3300,Borboleta de estrangulamento,1999-02-08,
6503-122-6200,4201-122-6200,Parafuso de encosto da marcha lenta,1998-04-22,
9020-341-0980,9022-341-0980,Parafuso IS-M5x16,2017-10-04,
9022-313-0965,9022-341-0960,Parafuso IS-M5x12,1996-05-15,
9022-313-0710,9022-371-0710,Parafuso IS-M4x20,2013-05-14,
9022-313-1015,9022-341-1010,Parafuso de aço IS-M5x18,1996-05-15,
9022-341-1020,9022-371-1020,Parafuso de aço IS-M5x20,2013-05-14,
9022-341-1055,9110-313-1020,Parafuso cabeça chata M5x20,2009-09-18,
9022-341-1355,9022-341-1350,Parafuso IS-M6x25-10/9,2014-12-02,
9022-371-1022,9022-371-1020,Parafuso de aço IS-M5x20,2013-05-14,
9039-488-0340,9099-021-1760,Parafuso auto-atarraxante 2/9x9/5,1996-05-20,
9036-341-1020,9036-371-1020,Parafuso allen ISO10644-M5x20-12/9-S4-S,2005-08-17,
9036-341-1320,9022-341-1300,Parafuso IS-M6x20,1996-05-15,
9041-216-1310,9041-216-1280,Parafuso cilíndrico com fenda M6x16,1996-11-14,
9041-319-0660,9022-313-0660,Parafuso de aço IS-M4x12,1996-02-26,
9045-319-1350,9022-341-1350,Parafuso IS-M6x25-10/9,2014-12-02,
9045-319-1430,9022-341-1430,Parafuso IS-M6x50,2014-03-14,
9045-319-1450,9022-341-1080,Parafuso IS-M5x35,1996-05-15,
9048-216-1320,9022-341-1300,Parafuso IS-M6x20,1996-05-15,
9061-373-1350,9061-373-1352,Parafuso ISO7046-M6x28-12/9 esq/,2009-05-19,
,0000-958-6511,Arruela,2010-03-05,
9061-373-1352,4314-007-1054,Jogo de parafusos,2009-11-10,
3002-000-9207,3002-001-9207,"Sabre 33 cm 1,6",1999-01-18,
4126-791-0601,4133-791-0900,Peça de aperto,1999-01-18,
4126-791-0605,4133-791-0905,Peça de aperto,1999-01-18,
4137-120-0601,4137-120-0600,Carburador WT-447,1999-01-19,
5605-773-5512,5605-772-5506,"Lima redonda 5,5x200",1999-03-22,
4762-012-4500,4762-012-4502,RE 900 Lavadora de alta-pressão,1999-06-29,
0000-000-0482,0461-995-0323,Folheto MB P835 Espanhol,1999-08-02,
5605-773-4812,5605-772-5206,"Lima redonda 4,8x200",1999-08-27,
5605-773-3512,5605-772-4006,"Lima redonda 3,5x200",1999-09-30,
4119-204-0101,4119-204-0014,"FS 280 Roçadeira,DM 300-3",2000-01-04,
4119-208-1101,4119-208-0016,"FS 160 Roçadeira,DM 300-3",2000-01-04,
4119-210-1601,4119-210-0012,"FS 220 Roçadeira,DM 300-3",2000-01-04,
4137-208-0201,4137-218-0002,"FS 85 Roçadeira,DM 250-3",2000-01-04,
4137-791-1700,4137-790-1700,Cabo de empunhadura dupla,2000-03-10,
1125-121-0801,1125-121-0802,Tampa de fechamento,2001-01-08,
4112-400-1700,4126-440-1101,Terminal redondo,2001-01-08,
4203-140-1000,4203-140-1002,Tampa do filtro,2001-01-17,
4203-140-2800,4203-140-2803,Carcaça do filtro,2001-01-17,
4762-700-2230,4762-700-2231,Cj. válvula By-pass,2001-01-22,
4130-710-6700,4140-007-1006,Braçadeira,2002-01-09,
9639-003-1586,9639-003-1585,Retentor 15x25,2002-05-17,
0712-923-8033,0712-923-8004,"Mangueira 3,1x5,7 mm",2002-05-28,
1122-020-1212,1122-020-1209,Cilindro com pistão Ø 54 mm,2002-05-28,
4761-701-0550,4761-510-2300,Cj. guia dos pistões c/válv.,2003-10-23,
4762-606-0210,4762-435-5900,Braçadeira P50-R,2003-10-23,
4915-500-6630,4915-502-5502,Capa da pistola,2003-10-23,
0000-930-2246,0000-930-2304,"Fio corte red. Ø 2,4 mm x 253,0 m la",2004-02-16,
1108-120-2310,1108-120-2300,Flange,2004-02-18,
1119-120-1614,1119-120-1621,"Filtro de ar, Vlies",2004-03-11,
4138-711-9001,4138-711-9002,Anel,2005-08-10,
4762-791-3501,4762-007-1004,Quadro,2005-12-22,
3003-000-9842,3003-001-9842,"Sabre S 75cm/30"" 1,6mm/0.063"" 3/8""",NaT,
1119-007-1050,1119-007-1051,Jogo de juntas de vedação,2006-04-24,
4226-710-6019,4226-710-6051,"Lâmina 600 mm / 24""",2006-05-05,
1127-160-2050,1127-160-2051,Embreagem,2006-08-01,
1128-640-7110,1128-640-7112,Sem-fim,2006-09-29,
4226-080-0902,4226-080-0904,Cobertura do condutor de ar,2006-11-22,
4119-967-1500,4119-967-1501,Plaqueta de identificação FS 220,2007-03-19,
9503-003-5130,9503-003-5190,Rolamento de esferas6001-2RS-CN,2007-08-28,
0000-350-0503,0000-350-0509,Tampa do tanque,2007-09-05,
4762-791-8302,4762-791-8300,Porca,2007-09-05,
4229-708-9700,4229-708-9702,Saco coletor 45 l,2007-11-07,
1119-160-2000,1119-160-2002,Embreagem,2007-12-13,
1125-122-3200,1125-122-3202,Mola com haste,2007-12-13,
1119-162-0800,1119-162-0802,Contrapeso centrífugo,2008-01-03,
4230-640-0502,4230-640-0506,Carcaça da engrenagem,2008-08-12,
5605-772-5206,5605-771-5206,"Lima redonda 5,2x200",2009-06-15,
4809-790-1400,4809-790-1407,Carcaça FSE 60,2009-07-06,
4205-120-0601,4205-120-0604,Carburador HS-277A,2010-08-10,
4134-120-0605,4134-120-0654,Carburador de alumínio C1Q-S138,2010-11-09,
4130-791-4400,4130-790-8450,Limitadora de passo,2010-11-19,
4180-080-1801,4180-080-1809,Carcaça do ventilador,2010-11-19,
4128-160-0607,4128-160-0608,Carcaça da embreagem,2010-12-10,
1204-440-2006,1208-440-2004,Cabo de conexão 230 V,2011-01-10,
4761-510-0200,4762-701-9600,Válvula de retenção,2011-01-14,
4119-120-0604,4119-120-0602,Carburador WT-223A,2011-02-09,
4138-640-1700,4138-640-1703,Tampa do pinhão da corrente,2011-09-22,
4132-711-3300,4128-711-3300,Alma do eixo de aço,2012-01-24,
4915-500-5602,4915-500-5603,Conjunto de pulverização,2012-03-30,
1125-121-5402,1125-121-5408,Injetor da válvula,2012-04-27,
4247-701-7700,4247-701-7701,Elemento do condutor de ar,2012-08-02,
1119-020-2114,1119-020-2122,Carcaça do virabrequim,2012-09-13,
0463-902-0072,0463-902-0089,Mateira,2012-11-12,
4244-120-0602,4244-120-0605,Carburador C1Q-S165,2012-12-10,
4765-708-5801,4765-708-5800,Parafuso de fechamento,2012-12-13,
1123-020-3003,1123-020-3033,Carcaça do motor,2013-01-14,
4180-120-0609,4180-120-0612,Carburador C1Q-S132C,2013-01-21,
0342-001-1021,0000-881-9411,Misturador,2013-01-22,
1137-123-7500,1137-123-7504,Luva,2013-04-02,
0000-350-0517,0000-350-0527,Tampa do tanque,2013-04-08,
1127-124-1500,1127-124-1501,Pré-filtro,2013-11-01,
1122-442-1603,1130-442-1602,Mola de contato,2014-02-24,
4241-182-1500,4241-182-1501,Tirante do acelerador,2014-03-27,
4238-020-1202,4238-020-1205,Cilindro com pistão Ø 50 mm,2014-04-03,
4238-020-2901,4238-020-2905,Parte da carcaça lado AS,2014-04-23,
4241-791-0200,4241-791-0202,Cabo,2014-04-24,
0000-967-2025,0000-967-2018,Logotipo STIHL BR,2014-06-16,
4140-710-1702,4140-710-1700,"Tubo do eixo Ø 25,4 mm",2014-06-16,
9503-003-0471,9503-003-0541,Rolamento de esferas 6303-CN,2014-06-16,
4137-182-1700,4137-182-1701,Interruptor combinado,2014-08-11,
4138-641-0301,4182-641-0300,Carcaça da engrenagem,2014-08-11,
1130-200-0142,1130-200-0337,"MS 170 Motosserra,30cm/12"",61PMM3",2014-09-08,
4255-670-6601,4255-670-6602,Tubo da bomba,2014-12-22,
0000-953-6606,0000-953-6610,Parafuso prisioneiro,2015-03-06,
4133-007-1005,4133-007-1007,Jogo de proteção Ø 420 mm,2015-03-06,
4203-122-6805,1128-122-6809,Parafuso de regulagem da marcha lenta,2015-03-06,
4241-182-4200,4241-182-4204,Mola de contato,2015-03-06,
4244-700-2105,4244-700-2106,Cobertura,2015-03-06,
5910-840-0205,5910-840-0207,Equipamento para diagnose MDG 1,2015-07-03,
5910-840-0205,5910-840-0207,Equipamento para diagnose MDG 1,2015-07-03,
4768-510-3200,4768-510-3201,Tubo,2015-09-24,
4137-200-0274,4137-200-0302,"Roçadeira,AutoCut C 25-2",2015-11-24,
