codigo_antigo,codigo_novo,descricao,data_alteracao,unnamed_7
1118-182-1005,1118-182-1006,Alavanca acelerador,1998-08-14,
1118-640-9100,1128-640-9100,Válvula de alumínio e aço,1995-05-08,
1118-791-0601,1118-791-0602,Cobertura do punho,1997-09-29,
1118-791-7200,1118-791-7205,Luva,2009-03-30,
1118-791-7205,1127-791-7200,Luva,2011-05-25,
1118-791-7305,1125-791-7306,Bujão,1986-07-03,
1119-007-1008,0000-958-0512,"Arruela 5,1x20x0,5",1997-01-21,
,1117-790-9100,Proteção da mão,1987-08-20,
,1118-791-7205,Luva,2009-03-30,
,9022-313-1030,Parafuso IS-M5x23,2014-03-14,
,9022-341-0980,Parafuso IS-M5x16,1988-08-25,
1119-007-1017,1119-007-1007,Jogo carcaça do tanque,2014-06-14,
1119-007-1023,1117-182-0805,Trava do acelerador,2011-05-25,
,1118-182-1006,Alavanca acelerador,1998-08-14,
,1119-182-1501,Tirante do acelerador de aço,1987-12-10,
1119-020-1206,1119-020-1201,Cilindro com pistão Ø 50 mm,2009-06-05,
1119-020-1207,1119-020-1202,Cilindro c/ pistão Ø52mm,2007-09-19,
1119-020-2107,1119-020-2118,Carcaça do virabrequim,2015-09-03,
1119-029-2300,1119-029-2301,"Junta do cilindro 0,5 mm",1997-08-11,
1119-030-2002,1119-030-2003,Pistão Ø 52 mm,2007-01-18,
1119-080-1600,1119-080-1601,Cobertura,1998-05-11,
1119-080-1801,1119-080-1800,Carcaça do ventilador,2016-05-12,
1119-084-0900,1119-080-1600,Cobertura,1995-08-09,
1119-120-0602,1119-120-0650,Carburador Bing 48A101C,2010-07-21,
1119-120-0604,1119-120-0606,Carburador C3-S149,2008-09-17,
1119-120-0651,1119-120-0606,Carburador C3-S149,2008-09-17,
1119-120-1610,1119-120-1609,Filtro de ar sem compensador,2016-12-07,
1119-120-0611,1119-120-0602,Carburador Bing 48A101B,2010-07-30,
1119-120-1615,1119-120-1604,Filtro de ar com compensador,2015-08-12,
1119-120-0650,1119-120-0651,Carburador Bing 48A125A,2009-03-26,
