unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,unnamed_9,utilizacao,unnamed_11,unnamed_12,s,t,ipi,ncm_classif_fiscal,codigo_barras,unnamed_18,unnamed_19
,,5605-771-3206,1312.0,6.0,"Lima redonda 3,2x150",,MSA120/140/160/161T/200/HT133,,,1.0,10.0,52.0,82031010.0,795711828509.0,,
,,5605-771-4806,901.0,60.0,"Lima redonda 4,8x200",,MS260,,,1.0,10.0,52.0,82031010.0,795711105754.0,,
,,5605-771-4006,901.0,60.0,Lima redonda 4x200,,3/8 PMM 1.1mm e PM 1.3mm,,,1.0,10.0,52.0,82031010.0,795711105716.0,,
,,5605-771-5206,901.0,60.0,"Lima redonda 5,2x200",,3/8 RS e RM 1.6mm,,,1.0,10.0,52.0,82031010.0,795711105778.0,,
,,5605-771-5506,901.0,60.0,"Lima redonda 5,5x200",,404 e serra circular especial de FS,,,1.0,10.0,52.0,82031010.0,795711105792.0,,
,,0000-881-7100,248.0,50.0,Embalagem de limas,,Embalagem de papel para armazenagem individual de limas redondas e chata,,,5.0,0.0,975.0,48195000.0,795711178093.0,,
,,5605-007-1000,169.0,1.0,"Jogo de afiação 1/4"" Picco",,MSA160C/200C,,,1.0,10.0,52.0,82031090.0,795711641245.0,,
,,5605-007-1027,169.0,1.0,"Jogo de afiação 1/4"", 3/8"" P","Jogo de afiação 1/4"", 3/8"" P",MS170/180/210/230/250/HT75/131,,,1.0,10.0,52.0,82031090.0,795711087517.0,,
,,5605-007-1028,169.0,1.0,Jogo de afiação .325,Jogo de afiação,MS260,,,1.0,10.0,52.0,82031090.0,795711087524.0,,
,,5605-007-1029,169.0,1.0,"Jogo de afiação 3/8""","Jogo de afiação 3/8""",MS260/310/361/381/460/650/660,,,1.0,10.0,52.0,82031090.0,795711087531.0,,
,,5605-007-1030,169.0,1.0,"Jogo de afiação .404""","Jogo de afiação .404""",MS051/08,,,1.0,10.0,52.0,82031090.0,795711087548.0,,
,,5605-750-4303,309.0,1.0,"Suporte de limas 2-in-1 3/8""P",,MS170/180/210/230/250/HT75/131,,,1.0,10.0,52.0,82031010.0,795711424237.0,,
