codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
1251-642-1200,54.04,1,"Pinhão da corrente 1/4""P 6D",MSA160 MSA200,1,10,0.0,84839000,795711936150
1251-642-1204,49.48,1,"Pinhão da corrente 3/8""P 6d",MSA220,1,10,0.0,84839000,886661774098
1251-660-0800,14.79,1,Batente de garras,MSA220,1,10,5.2,84679100,886661056408
1251-790-1001,54.49,1,Carcaça do punho,MSA220,1,10,5.2,84679100,886661844050
1251-790-1010,378.43,1,Carcaça do punho,MSA220,1,10,5.2,84679100,886661349579
1251-790-1015,379.93,1,Carcaça do punho,,1,10,5.2,84679100,886661875757
1251-792-4900,40.31,1,Proteção da mão,MSA220,1,10,5.2,84679100,886661763894
1251-967-1803,10.08,1,Placa de características,MSA220,1,10,9.75,39199090,886661775569
1251-967-1808,10.08,1,Placa de características MSA 200 JP,MSA200,1,10,9.75,39191090,886661258956
1252-007-3800,110.92,1,Kit elementos de comando,MSA161,1,10,5.2,84679100,886661148912
1252-162-5000,10.56,5,Alavanca,MSA160T,1,10,5.2,84679100,886661117192
1252-162-7901,5.21,1,Mola de tração,MSA160T,1,10,9.75,73202010,886661143672
1252-182-4500,4.47,10,Mola com haste,MSA160T,1,10,9.75,73202010,886661062362
1252-350-4401,151.09,1,Tanque de óleo,MSA 160,1,10,5.2,84679100,886661258772
1252-352-5000,13.83,1,Olhal,MSA160T,1,10,5.0,73269090,886661055494
1252-404-0800,16.12,3,Placa de contato,MSA160T,1,10,5.2,84679900,886661117208
1252-404-0801,8.34,3,Placa de contato,MSA160T,1,10,5.2,84679900,886661117222
1252-430-0502,86.59,1,Interruptor,MSA160T,1,10,9.75,85365090,886661496488
1252-430-1400,772.51,1,Módulo electrônico,MSA160T,1,0,9.75,90328990,795711998059
1252-430-1401,815.39,1,Módulo electrônico,MSA161,1,0,9.75,85371030,886661621378
1252-431-2100,5.31,1,Lingueta de encaixe,MSA160,1,10,9.75,85369090,886661117246
1252-435-1501,5.75,3,Grampo,MSA160T,1,10,6.5,73170020,886661091706
1252-435-2400,10.58,5,Alavanca do interruptor,MSA160T,1,10,5.2,84679100,886661008292
