unnamed_1,unnamed_2,unnamed_3,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,t,ipi,ncm_classif_fiscal,cod_barras
,,,BA05-011-5900,899.0,BGA 50.0 Soprador a bateria,1.0,AK 20,Não acompanha bateria ou carregador,-,36,770,46,20,22.0,1.0,10.0,0.0,84145990.0,886661311132.0
,,,BA05-011-5915,1899.0,"BGA 50.0 SET Soprador a bateria, 220V",1.0,,"Bateria AK 20
Carregador AL 101 - 220V",220V,,,,,,1.0,10.0,0.0,84145990.0,886661422296.0
,,,BA05-011-5916,1899.0,"BGA 50.0 SET Soprador a bateria, 127V",1.0,,"Bateria AK 20
Carregador AL 101 - 127V",110V,,,,,,1.0,10.0,0.0,84145990.0,886661422302.0
,,,BA02-011-5904,1149.0,BGA 86 Soprador a bateria,1.0,AP 300S,Não acompanha bateria ou carregador,-,36,58,780,21,46.0,6.0,10.0,0.0,84145990.0,886661867387.0
,,,BA03-011-5910,4299.0,BGA 300.1 Soprador a bateria,1.0,AP,não acompanha as baterias AP.,-,-,86,970,58 usando duas baterias AP 500,74.0,1.0,10.0,0.0,84145990.0,886661113873.0
,,,6909-400-4300,2289.0,Adaptador para compartimento duplo da ba,1.0,,não acompanha as baterias AP.,-,-,-,-,-,,1.0,10.0,325.0,84149020.0,795711995195.0
,,,0000-790-7700,3589.0,Cinto peitoral,,,,,,,,,1.0,1.0,0.0,0.0,63079090.0,795711424671.0
,,,4282-790-1700,23388.0,Tubo do punho,,,,,,,,,1.0,1.0,10.0,325.0,84249090.0,795711372255.0
,,,4283-710-9100,20694.0,Cinturão,,,,,,,,,1.0,1.0,0.0,0.0,63079090.0,886661286317.0
,,,4244-708-6302,571.0,Bico redondo curvado,,,,,,,,,1.0,1.0,10.0,325.0,84149020.0,886661173822.0
,,,4282-708-6304,7996.0,Bico chato curvado,,,,,,,,,1.0,1.0,10.0,325.0,84149020.0,886661035991.0
,,,6311-011-1417,1569.0,RMA 235.1 (RoW) Cortador de grama a bateria,1.0,AK 20,Não acompanha bateria ou carregador,-,36,25 - 65,33,30,14.0,1.0,0.0,325.0,84331100.0,886661760770.0
,,,6368-011-1402,2959.0,RMA 460 Cortador de grama a bateria,1.0,AK 30,Não acompanha bateria ou carregador,-,36,46,35-90,60,25.0,1.0,0.0,325.0,84331100.0,886661433896.0
,,,6368-011-1412,3669.0,RMA 460.0 V Cortador de grama a bateria,1.0,AK 30,Não acompanha bateria ou carregador,-,36,46,25-100,60,28.0,1.0,0.0,325.0,84331100.0,886661867929.0
,,,WA32-011-1410,3159.0,RMA 353.0 Cortador de grama a bateria,1.0,AP 300 S,Não acompanha bateria ou carregador,-,36,51,25-100,60,27.0,1.0,0.0,325.0,84331100.0,886661737352.0
,,,WA32-011-1430,4189.0,RMA 353.0 V Cortador de grama a bateria,1.0,AP 300 S,Não acompanha bateria ou carregador,-,36,51,25-100,60,30.0,1.0,0.0,325.0,84331100.0,886661738922.0
