unnamed_2,codigo_material,preco_real,qtde_min,descricao,vazao_maxima_l_h,pressao_maxima_bar,pressao_de_trabalho_bar,potencia_kw,tipo_de_motor,peso_kg,comprimento_da_mangueira_m,cabecote_da_bomba,s,t,ipi,ncm_classif_fiscal,cod_barras
,4900-500-8700,24967.0,1.0,Mangueira plana 12 m,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150/232,,,,1.0,0.0,325.0,59090000.0,886661152681.0
,4925-500-0841,101745.0,1.0,Mangueira de alta pressão DN06 20 m,,,,,RE230/RE232,,,,1.0,10.0,65.0,40091290.0,795711693480.0
,4910-500-0803,86551.0,1.0,Mangueira de alta pressão DN06 20 m,,,,,RE 145 / 150,,,,1.0,0.0,65.0,40092290.0,886661952281.0
,4915-501-1000,335.0,1.0,"Protetor de mangueira 5,5 m D1/2"" PE",,,,,Todas as lavadoras,,,,5.0,10.0,0.0,39269090.0,795711640774.0
,4915-501-1001,5145.0,1.0,"Protetor de mangueira 7,5 m D1/2"" PE",,,,,Todas as lavadoras,,,,5.0,10.0,0.0,39269090.0,795711354046.0
,4910-500-6000,18284.0,1.0,Escova de limpeza,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,0.0,0.0,96035000.0,886661861903.0
,4910-500-6100,20184.0,1.0,Kit de limpeza de veículos,,,,,RE90/95/110,,,,1.0,10.0,325.0,84249090.0,886661861927.0
,4910-500-6101,22901.0,1.0,Kit de limpeza de veículos,,,,,RE80X/80/90.0/90Plus/90/95/110/143/150,,,,1.0,10.0,325.0,84249090.0,886661566334.0
,7030-871-0000,29.0,6.0,Detergente Multiúso 1L,,"Produto concentrado e biodegradável, indicado para limpeza de superfícies laváveis em geral, como por exemplo: calçadas, fachadas e vidros.",,,Lavadoras,,,,0.0,10.0,0.0,34025000.0,886661776948.0
,4930-530-0025,6311.0,1.0,Bico chato 127V/60Hz,,,,,RE110/145 - 127V,,,,1.0,10.0,325.0,84249090.0,886661589708.0
,4950-500-1610,8536.0,1.0,"Bico turbo Ø 1,01 mm, rot, 127V/60Hz",,,,,RE110/RE145,,,,1.0,10.0,325.0,84249090.0,886661589784.0
,4950-500-0815,30287.0,1.0,Mangueira de alta pressão,,,,,RE145,,,,1.0,10.0,325.0,39173900.0,886661622696.0
,RE02-500-0900,8361.0,1.0,Extensão da lança,,,,,RE80X/RE80/RE90/RE90 Plus/RE110/145,,,,1.0,10.0,325.0,84249090.0,886661674374.0
,7030-871-0001,29.0,6.0,Detergente Automotivo 1 L,,"Produto concentrado e biodegradável, ideal para limpeza de superfícies de veículos automotores, como lataria e vidros.",,,Lavadoras,,,,0.0,10.0,0.0,34025000.0,886661776986.0
,4925-500-1800,98061.0,1.0,Dispositivo de jateamento com líquido 05,,,,,RE 232,,,,1.0,10.0,325.0,84249090.0,795711693541.0
,4910-550-3500,1219.0,1.0,Lança telescópica,,,,,RE80X/RE150,,,,1.0,10.0,325.0,84249090.0,795711514426.0
,4910-550-3400,56128.0,1.0,Escova rotativa,,,,,RE80X/RE150,,,,1.0,0.0,0.0,96035000.0,795711514419.0
,4910-500-3410,22697.0,1.0,Escova rotativa / Escova de substituição,,,,,,,,,1.0,0.0,0.0,96035000.0,886661651962.0
,SE01-012-4401,949.0,1.0,"SE 33 Aspirador, 127 V",1400,210,"Lavável
Filtro Papel
Filtro Espuma",3.4,12,,9.0,5.3,1.0,10.0,65.0,85081100.0,886661933419.0
,SE01-012-4402,949.0,1.0,"SE 33 Aspirador, 220 V",,,,,,,,5.4,1.0,10.0,65.0,85081100.0,886661933426.0
,SE01-500-9000,10412.0,1.0,Saco do filtro,,Filtro de papel - embalagem com 5 unidades,,,,SE33,,,1.0,0.0,325.0,59119000.0,886661506941.0
,SE01-703-5900,13814.0,1.0,Filtro,,Filtro Lavável,,,,SE33,,,1.0,0.0,0.0,84213990.0,886661510528.0
,SE01-502-6900,6975.0,1.0,Filtro de líquidos,,,,,,SE33,,,1.0,10.0,0.0,84212990.0,886661518388.0
,4901-502-2400,569.0,1.0,Bico do tubo inclinado,,,,,,SE33,,,1.0,0.0,65.0,85087000.0,795711059538.0
,4901-502-2600,6727.0,1.0,Bico da escova,,,,,,SE33,,,1.0,0.0,65.0,85087000.0,795711059569.0
,4901-502-2900,5566.0,1.0,Bico Escova Ø 36 mm,,,,,,SE33,,,1.0,0.0,65.0,85087000.0,795711059606.0
,4901-500-2610,4653.0,1.0,Bico de limpeza do radiador,,,,,,SE33,,,1.0,0.0,65.0,85087000.0,795711059101.0
,4901-502-2200,1702.0,5.0,Bico para cantos 300 mm,,,,,,SE33,,,1.0,0.0,65.0,85087000.0,795711059484.0
,4203-200-0011,2469.0,1.0,SR 420 Pulverizador,56.5,"2,6 / 3,5",12,11.5,13,101.0,750.0,11.1,5.0,0.0,0.0,84244100.0,886661518364.0
,4244-200-0000,3099.0,1.0,SR 430 Pulverizador,63.3,"2,9 / 3,9",14.5,13,14,90.0,920.0,12.2,5.0,0.0,0.0,84244100.0,795711966294.0
,4244-200-0001,3599.0,1.0,SR 450 Pulverizador,63.3,"2,9 / 3,9",14.5,13,14,90.0,920.0,12.8,5.0,0.0,0.0,84244100.0,795711966300.0
,4203-007-1013,57975.0,1.0,Jogo disp.pulveriz.(atomiz./polvilhada),,,,,,SR400/SR420,,,1.0,10.0,325.0,84249090.0,795711050436.0
,4203-007-1029,58214.0,1.0,Jogo bomba de pressão (ULV),,"Com a bomba de pressão é possível uma ejecção uniforme do líquido de pulverização, independente da posição do pulverizador. Além disso, o líquido de pulverização é virado permanentemente o que evita uma separação da mistura. ",,,,SR400/420,,,1.0,10.0,0.0,84136019.0,795711172565.0
,4244-007-1004,53508.0,1.0,Jogo bomba de pressão,,,,,,SR430/450,,,5.0,10.0,0.0,84136019.0,795711601829.0
,4203-007-1019,13255.0,1.0,Jogo bico ULV,,,,,,SR400/420,,,1.0,10.0,325.0,84249090.0,795711160142.0
,4244-007-1022,3489.0,1.0,Jogo bico ULV,,,,,,SR430/450,,,0.0,10.0,325.0,84249090.0,886661552146.0
,4255-019-4914,109.0,6.0,SG 11 Pulverizador Manual,,1.5,,3,,SG 11,,0.41,6.0,0.0,0.0,84244100.0,886661268993.0
,4255-019-4932,379.0,1.0,SG 31 Pulverizador Manual,,5,,3,,SG 31,,1.3,1.0,0.0,0.0,84244100.0,886661269006.0
,4247-019-4900,639.0,1.0,SG 20 Pulverizador Manual Costal,,18,,7,,SG 20,,5.2,1.0,0.0,0.0,84244100.0,795711340551.0
,4255-019-4973,639.0,1.0,SG 71 Pulverizador Manual Costal,,18,,6,,SG 71,,4.8,6.0,0.0,0.0,84244100.0,886661269013.0
,4255-700-6302,4438.0,1.0,"Bico Cônico Ajustável - para utilização com cone vazado ou completo, para variadas aplicações.",,,,0.4,2,Metálico,SG31/71,,1.0,10.0,325.0,84249090.0,886661133468.0
,4255-700-6303,2347.0,1.0,"Bico Cônico Oco 2,5mm -  Bico especial com grande calibre, para fluxos elevados.",,,,2.6,2,Metálico,SG71,,1.0,10.0,325.0,84249090.0,886661133482.0
,4255-700-6304,14243.0,1.0,Bico Cônico Cheio - Bico cônico com fluxo reduzido. Ideal para uma dosagem de precisão.,,,,0.31,2,Metálico,SG71,,1.0,10.0,325.0,84249090.0,886661133499.0
