unnamed_2,unnamed_4,codigo_material,preco_real,qtde_min,descricao,cilindrada_cm3,pot,unnamed_11,peso,conjunto_de_corte,s,t,ipi,ncm_classif_fiscal,cod_barras
,5.0,4134-200-0374,3249.0,2.0,KA 120 R HL 145° - Podador Especial,,,,7885.0,HL PODADOR ESPECIAL,1.0,10.0,52.0,84678900.0,886661512607.0
,7.0,4134-200-0464,2969.0,2.0,"KA 120 R HT Motopoda 30cm/12"",61PMM3, 
passo da corrente: 3/8""",,,,10465.0,"HT-KA MOTOPODA - 30cm/12"", 61PMMC3 ",5.0,10.0,52.0,84678100.0,886661616138.0
,8.0,4134-200-0376,3299.0,2.0,KA 120 R SP WR 9 - Derriçador de Café,,,,5801.0,SP20 WR 9 DERRIÇADOR CAFÉ,5.0,10.0,52.0,84678900.0,886661512621.0
,9.0,4134-200-0377,3279.0,2.0,KA 120 R SP WR 6 - Derriçador de Café,,,,5801.0,SP20 WR 6 DERRIÇADOR  CAFÉ,3.0,10.0,52.0,84678900.0,886661512638.0
,10.0,4134-200-0371,4279.0,2.0,KA 120 R SP – Colhedor de Oliva,,,,7362.0,SP COLHEDOR DE OLIVA,1.0,10.0,52.0,84678900.0,886661512577.0
,11.0,4134-200-0375,3069.0,2.0,KA 120 R FCS – Aparador de cantos,,,,8981.0,IMPLEMENTO APARARADOR DE CANTOS,1.0,10.0,52.0,84678900.0,886661512614.0
,1.0,4243-740-5101,142901.0,1.0,HL 145° Podador especial,,,,2084.0,KA85/KA120,1.0,10.0,52.0,82079000.0,886661157297.0
,2.0,4601-710-1504,1279.0,1.0,BF Implemento Cultivador do solo,,,,3924.0,"KA85R,FS85/120/250/FR350",1.0,10.0,52.0,82079000.0,795711288372.0
,3.0,4180-740-5100,1179.0,1.0,FCS Implemento Aparador de cantos,,,,318.0,KA85/KA120,1.0,10.0,52.0,82079000.0,886661112050.0
,4.0,4137-740-5100,269.0,1.0,FS Implemento Roçadeira,,,,1275.0,KA85R/FS55/80/85/120/130FR220,0.0,10.0,52.0,82079000.0,886661548521.0
,5.0,4182-200-0215,149899.0,1.0,"HT Implemento Moto-poda,30cm/12"",71PM3",,,,1711.0,"KA85R/120,HT75/133",0.0,10.0,52.0,84679100.0,886661553457.0
,6.0,4182-200-0217,1139.0,1.0,"HT Implemento Moto-poda,30cm/12"",61PMM3",,,,1711.0,"KA85R/120,HT131",0.0,10.0,52.0,84679100.0,886661599929.0
,7.0,4249-740-5100,2619.0,1.0,SP 10 Derriçador,,,,1561.0,KA85/KA120,6.0,10.0,52.0,84679900.0,795711367848.0
