unnamed_2,unnamed_3,unnamed_4,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabre,s,t,ipi,ncm_classif_fiscal,cod_barras,unnamed_21
,,,1148-200-0246,1599,"MS 182 Motosserra,40cm/16"",63PM3",1,35.8,280,396,1.6,4.6,1,10,5.2,84678100,795711985479,
,,,1148-200-0247,1799,"MS 212 Motosserra,40cm/16"",63PM3",1,38.6,280,396,1.8,4.6,1,10,5.2,84678100,795711985493,
,,,1148-200-0248,1819,"MS 212 Motosserra,45cm/18"",63PM3",1,38.6,280,396,1.8,4.6,1,10,5.2,84678100,795711985516,
,,,VB07-011-1800,1599,EHC 705.0 S (BR) Motor com acoplamento,1,252,0.6,4,7,,1,0,0,84079000,886661064786,
,,,VB06-011-1800,1399,EHC 605.0 S (BR) Motor com acoplamento,1,212,0.6,3.6,6,,1,0,0,84079000,886661064724,
,,,4950-011-4504,1969,"RE 100 Lavadora de alta pressão, 127 V",1,440,130,95,1.6,Indução ,5,10,0,84243010,886661025657,
,,,4950-011-4505,1969,"RE 100 Lavadora de alta pressão, 220 V",1,510,140,100,1.7,Indução ,5,10,0,84243010,886661025664,
,,,HA08-011-3504,899,"HSA 30.0 Podador a bateria, 450mm/18""",1,Não acompanha bateria ou carregador,-,10.8,45,22,1,10,5.2,84672999,886661684243,
,,,HA08-011-3511,1189,"HSA 30.0 SET Podador a bateria, 220V,",1,"Bateria AS 2
Carregador AL 1 - 220V",220V,,,,1,10,5.2,84672999,886661684311,
,,,HA08-011-3512,1189,"HSA 30.0 SET Podador a bateria, 127V,",1,"Bateria AS 2
Carregador AL 1 - 127V",127V,,,,1,10,5.2,84672999,886661684328,
,,,HA08-011-3524,1089,"HSA 40.0 Podador a bateria, 500mm/20""",1,Não acompanha bateria ou carregador,-,10.8,50,24,1,10,5.2,84672999,886661869862,
,,,HA08-011-3531,1529,"HSA 40.0 SET Podador a bateria, 220V,",1,"2 Unidades Bateria AS 2
Carregador AL 1 - 220V",220V,,,,1,10,5.2,84672999,886661870042,
,,,HA08-011-3532,1529,"HSA 40.0 SET Podador a bateria, 127V,",1,"2 Unidades Bateria AS 2
Carregador AL 1 - 127V",127V,,,,1,10,5.2,84672999,886661870059,
,,,HA07-011-3530,1899,"HSA 100.1 Podador a bateria, 600mm/24""",1,AP200,Não acompanha bateria ou carregador,36,600,34,1,10,5.2,84672999,795711859367,
,0000-881-6602,729.0,Machado para rachar AX 20 PC,,,,1,,,,,1,10,0,82014000,886661552849,
,0000-881-6701,659.0,Machado florestal AX 15 P,,,,1,,,,,1,10,0,82014000,886661552832,
,0000-881-6801,379.0,Machadinha AX 6 P,,,,1,,,,,1,10,0,82014000,886661552825,
,0000-881-2011,689.0,Martelo para rachar AX 33 CS,,,,1,,,,,1,10,0,82014000,795711365516,
